model,depth,ctx,kv,spec,rep,prompt_n,tps,draft_n,draft_accepted,accept_rate
moe,8k,8192,q8_0,nospec,0,4,83.75440082846131,,,
moe,8k,8192,q8_0,nospec,1,4,84.87624195161034,,,
moe,8k,8192,q8_0,nospec,2,4,85.9483271017613,,,
moe,8k,8192,q8_0,mtp,0,4,147.92422860801986,361,358,0.9916897506925207
moe,8k,8192,q8_0,mtp,1,4,148.41394959202654,361,358,0.9916897506925207
moe,8k,8192,q8_0,mtp,2,4,148.82409124702681,361,358,0.9916897506925207
moe,128k,131072,q4_0,nospec,0,4,48.355629218491366,,,
moe,128k,131072,q4_0,nospec,1,4,48.370364788868194,,,
moe,128k,131072,q4_0,nospec,2,4,48.21237615981567,,,
moe,128k,131072,q4_0,mtp,0,4,113.60956784435186,361,358,0.9916897506925207
moe,128k,131072,q4_0,mtp,1,4,113.25492904327018,361,358,0.9916897506925207
moe,128k,131072,q4_0,mtp,2,4,112.71474977701266,361,358,0.9916897506925207
dense,8k,8192,q8_0,nospec,0,4,31.820270063581848,,,
dense,8k,8192,q8_0,nospec,1,4,31.806125690175257,,,
dense,8k,8192,q8_0,nospec,2,4,31.930965536341233,,,
dense,8k,8192,q8_0,mtp,0,4,70.57757392883241,365,357,0.9780821917808219
dense,8k,8192,q8_0,mtp,1,4,71.25555615199096,365,357,0.9780821917808219
dense,8k,8192,q8_0,mtp,2,4,70.56998119231591,365,357,0.9780821917808219
dense,48k,49152,q4_0,nospec,0,4,24.98963207931287,,,
dense,48k,49152,q4_0,nospec,1,4,25.225246031634363,,,
dense,48k,49152,q4_0,nospec,2,4,24.964609891633064,,,
dense,48k,49152,q4_0,mtp,0,4,58.26069303813201,374,355,0.9491978609625669
dense,48k,49152,q4_0,mtp,1,4,58.04567188252175,374,355,0.9491978609625669
dense,48k,49152,q4_0,mtp,2,4,58.57744289415265,374,355,0.9491978609625669
