model,task,depth,ctx,kv,spec,rep,prompt_n,tps,draft_n,draft_accepted,accept_rate
moe,class,8k,8192,q8_0,mtp,0,6316,151.28959248635368,361,358,0.9916897506925207
moe,class,8k,8192,q8_0,mtp,1,6316,150.13196599811235,361,358,0.9916897506925207
moe,class,8k,8192,q8_0,mtp,2,6316,152.38611254561002,361,358,0.9916897506925207
moe,class,32k,32768,q4_0,mtp,0,29316,140.87941942652057,361,358,0.9916897506925207
moe,class,32k,32768,q4_0,mtp,1,29316,143.22110633530608,361,358,0.9916897506925207
moe,class,32k,32768,q4_0,mtp,2,29316,142.3793358858257,361,358,0.9916897506925207
moe,class,64k,65536,q4_0,mtp,0,60906,133.71001921858675,361,358,0.9916897506925207
moe,class,64k,65536,q4_0,mtp,1,60906,131.31064363225082,361,358,0.9916897506925207
moe,class,64k,65536,q4_0,mtp,2,60906,132.14077749871603,361,358,0.9916897506925207
moe,class,96k,98304,q4_0,mtp,0,92756,120.66601203120585,361,358,0.9916897506925207
moe,class,96k,98304,q4_0,mtp,1,92756,123.734811551882,361,358,0.9916897506925207
moe,class,96k,98304,q4_0,mtp,2,92756,121.29984918385418,361,358,0.9916897506925207
moe,class,128k,131072,q4_0,mtp,0,122016,115.05999867553157,361,358,0.9916897506925207
moe,class,128k,131072,q4_0,mtp,1,122016,115.2289676406331,361,358,0.9916897506925207
moe,class,128k,131072,q4_0,mtp,2,122016,115.0899555880649,361,358,0.9916897506925207
moe,reason,8k,8192,q8_0,nospec,0,6296,87.98405059676666,,,
moe,reason,8k,8192,q8_0,nospec,1,6296,87.69159672410018,,,
moe,reason,8k,8192,q8_0,nospec,2,6296,86.6395674400001,,,
moe,reason,8k,8192,q8_0,mtp,0,6296,98.38980772273844,568,291,0.5123239436619719
moe,reason,8k,8192,q8_0,mtp,1,6296,97.86004435269753,568,291,0.5123239436619719
moe,reason,8k,8192,q8_0,mtp,2,6296,96.9437911410798,568,291,0.5123239436619719
moe,reason,64k,65536,q4_0,nospec,0,60886,62.652015803209,,,
moe,reason,64k,65536,q4_0,nospec,1,60886,64.64618791913006,,,
moe,reason,64k,65536,q4_0,nospec,2,60886,65.01100618764215,,,
moe,reason,64k,65536,q4_0,mtp,0,60886,72.37287426278533,484,255,0.5268595041322314
moe,reason,64k,65536,q4_0,mtp,1,60886,72.41939164637515,484,255,0.5268595041322314
moe,reason,64k,65536,q4_0,mtp,2,60886,72.64741837667513,484,255,0.5268595041322314
moe,reason,128k,131072,q4_0,nospec,0,121996,48.546711052025564,,,
moe,reason,128k,131072,q4_0,nospec,1,121996,49.18952604142698,,,
moe,reason,128k,131072,q4_0,nospec,2,121996,49.20314414651516,,,
moe,reason,128k,131072,q4_0,mtp,0,121996,69.36513923541989,580,279,0.4810344827586207
moe,reason,128k,131072,q4_0,mtp,1,121996,69.2756698957279,580,279,0.4810344827586207
moe,reason,128k,131072,q4_0,mtp,2,121996,69.10370221865159,580,279,0.4810344827586207
