model,task,depth,ctx,kv,spec,rep,prompt_n,tps,draft_n,draft_accepted,accept_rate
fable,reason,8k,8192,q8_0,nospec,0,6296,33.832520901731414,,,
fable,reason,8k,8192,q8_0,nospec,1,6296,33.88436591169538,,,
fable,reason,8k,8192,q8_0,nospec,2,6296,33.83028518704877,,,
fable,reason,8k,8192,q8_0,mtp,0,6296,42.11784235347764,668,282,0.4221556886227545
fable,reason,8k,8192,q8_0,mtp,1,6296,41.98126963673887,668,282,0.4221556886227545
fable,reason,8k,8192,q8_0,mtp,2,6296,42.077176273634045,668,282,0.4221556886227545
fable,class,8k,8192,q8_0,nospec,0,6316,33.93775980769206,,,
fable,class,8k,8192,q8_0,nospec,1,6316,33.76184112172742,,,
fable,class,8k,8192,q8_0,nospec,2,6316,33.68838898979601,,,
fable,class,8k,8192,q8_0,mtp,0,6316,74.72807698254005,371,356,0.9595687331536388
fable,class,8k,8192,q8_0,mtp,1,6316,74.8388843551308,371,356,0.9595687331536388
fable,class,8k,8192,q8_0,mtp,2,6316,74.96690211271722,371,356,0.9595687331536388
