layer,layer_type,tensor,shape,dtype,numel,bytes
0,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
0,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
1,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
1,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
2,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
2,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
3,full_attention,keys,"[1, 2, 24, 256]",float32,12288,49152
3,full_attention,values,"[1, 2, 24, 256]",float32,12288,49152
4,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
4,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
5,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
5,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
6,linear_attention,conv_states,"[1, 6144, 4]",float32,24576,98304
6,linear_attention,recurrent_states,"[1, 16, 128, 128]",float32,262144,1048576
7,full_attention,keys,"[1, 2, 24, 256]",float32,12288,49152
7,full_attention,values,"[1, 2, 24, 256]",float32,12288,49152
