curve,x,metric,y
acc_vs_n_cached,1,acc,0.6838
acc_vs_cache_bytes,0,acc,0.6838
latency_vs_n_cached,1,total_infer_ms,1.13
aggregation_read_ms_vs_n_cached,1,agg_read_ms,-0.01
acc_vs_n_cached,2,acc,0.7036
acc_vs_cache_bytes,4608,acc,0.7036
latency_vs_n_cached,2,total_infer_ms,1.29
aggregation_read_ms_vs_n_cached,2,agg_read_ms,0.15
acc_vs_n_cached,4,acc,0.7439
acc_vs_cache_bytes,9216,acc,0.7439
latency_vs_n_cached,4,total_infer_ms,1.55
aggregation_read_ms_vs_n_cached,4,agg_read_ms,0.42
acc_vs_n_cached,8,acc,0.7859
acc_vs_cache_bytes,18432,acc,0.7859
latency_vs_n_cached,8,total_infer_ms,2.68
aggregation_read_ms_vs_n_cached,8,agg_read_ms,1.54
acc_vs_n_cached,16,acc,0.8684
acc_vs_cache_bytes,36864,acc,0.8684
latency_vs_n_cached,16,total_infer_ms,5.9
aggregation_read_ms_vs_n_cached,16,agg_read_ms,4.76
acc_vs_seqlen_base,256,acc,0.6877
acc_vs_seqlen_grm,256,acc,0.792
acc_vs_seqlen_base,384,acc,0.6477
acc_vs_seqlen_grm,384,acc,0.8037
acc_vs_seqlen_base,512,acc,0.6001
acc_vs_seqlen_grm,512,acc,0.739
acc_vs_distance_base,32,acc,0.6964
acc_vs_distance_base,64,acc,0.7096
acc_vs_distance_base,96,acc,0.6829
acc_vs_distance_base,128,acc,0.7242
acc_vs_distance_base,160,acc,0.6639
acc_vs_distance_base,192,acc,0.7025
acc_vs_distance_base,224,acc,0.6934
acc_vs_distance_grm,32,acc,0.7955
acc_vs_distance_grm,64,acc,0.8183
acc_vs_distance_grm,96,acc,0.821
acc_vs_distance_grm,128,acc,0.8054
acc_vs_distance_grm,160,acc,0.7928
acc_vs_distance_grm,192,acc,0.8182
acc_vs_distance_grm,224,acc,0.8203
