claim,subcheck,result,max_abs_err,mean_abs_err,rel_err,argmax_agreement
A,logits_rerun,BIT_EXACT,0.0,0.0,0.0,1.0
A,state_rerun_exact,PASS,,,,1.0
B,segmented_vs_full_a2,NOT_EQUIVALENT,0.625,0.07947361469268799,0.00946969696969697,1.0
B,segmented_vs_full_a5,BOUNDED_DIFFERENCE,0.375,0.04562556371092796,0.014018691588785047,1.0
B,segmented_vs_full_a8,BOUNDED_DIFFERENCE,0.375,0.053690969944000244,0.014218009478672985,1.0
D,branch1_restore_vs_independent,BIT_EXACT,0.0,0.0,0.0,1.0
D,branch2_restore_vs_independent,BIT_EXACT,0.0,0.0,0.0,1.0
D,no_cross_branch_contamination,BIT_EXACT,0.0,0.0,0.0,1.0
D,parent_snapshot_unchanged,PASS,,,,1.0
E,neighbor_invariance_logits,BIT_EXACT,0.0,0.0,0.0,1.0
E,neighbor_invariance_state_exact,PASS,,,,1.0
E,P_alone_vs_in_batch,BOUNDED_DIFFERENCE,0.5,0.05942659080028534,0.007518796992481203,1.0
E,Q_alone_vs_in_batch,BOUNDED_DIFFERENCE,0.5,0.08575858920812607,0.017094017094017096,1.0
F,reset_state_vs_fresh_exact,PASS,,,,1.0
F,prefill_after_reset_vs_fresh,BIT_EXACT,0.0,0.0,0.0,1.0
G,roundtrip_state_exact,PASS,,,,1.0
G,byte_accounting,PASS,,,,1.0
chunk,cs8_vs_cs256_len20,BOUNDED_DIFFERENCE,0.375,0.02839195542037487,0.005681818181818182,1.0
C,continue_after_destroy_restore_vs_inmem,BIT_EXACT,0.0,0.0,0.0,1.0
C,reload_weights_match_original,PASS,,,,1.0
