claim,subcheck,result,max_abs_err,mean_abs_err,rel_err,argmax_agreement
A,logits_seq0,BIT_EXACT,0.0,0.0,0.0,1.0
A,state_seq0,PASS,,,,1.0
A,logits_seq1,BIT_EXACT,0.0,0.0,0.0,1.0
A,state_seq1,PASS,,,,1.0
B,greedy_restore_seq0_t8,BIT_EXACT,0.0,0.0,0.0,1.0
B,greedy_restore_seq1_t8,BIT_EXACT,0.0,0.0,0.0,1.0
B,greedy_restore_seq2_t8,BIT_EXACT,0.0,0.0,0.0,1.0
D,greedy_restore_t4,BIT_EXACT,0.0,0.0,0.0,1.0
D,greedy_restore_t8,BIT_EXACT,0.0,0.0,0.0,1.0
D,greedy_restore_t12,BIT_EXACT,0.0,0.0,0.0,1.0
E,branch1_restore_vs_independent,BIT_EXACT,0.0,0.0,0.0,1.0
E,branch2_restore_vs_independent,BIT_EXACT,0.0,0.0,0.0,1.0
E,no_cross_branch_contamination,BIT_EXACT,0.0,0.0,0.0,1.0
F,parent_snapshot_unchanged,PASS,,,,1.0
G,neighbor_invariance_logits,BIT_EXACT,0.0,0.0,0.0,1.0
G,neighbor_invariance_state_exact,PASS,,,,1.0
G,neighbor_invariance_continuation,BIT_EXACT,0.0,0.0,0.0,1.0
G,diagnostic_P_alone_vs_in_batch,NOT_EQUIVALENT,0.625,0.26544106006622314,0.010683760683760684,1.0
H,reset_state_vs_fresh_exact,PASS,,,,1.0
H,prefill_after_reset_vs_fresh,BIT_EXACT,0.0,0.0,0.0,1.0
I,roundtrip_state_exact,PASS,,,,1.0
I,byte_accounting,PASS,,,,1.0
C,greedy_continue_after_destroy_restore,BIT_EXACT,0.0,0.0,0.0,1.0
C,reload_weights_match_original,PASS,,,,1.0
