dose,condition,n,constrained_correct,constrained_acc,ci_lo,ci_hi,unconstrained_acc,format_adherence,seq_len
8,MP,192,159,0.8281,0.7685,0.8749,0.4896,0.5052,34
8,LC,192,169,0.8802,0.8267,0.9188,0.5052,0.5104,34
16,MP,192,131,0.6823,0.6134,0.744,0.3333,0.3385,66
16,LC,192,135,0.7031,0.635,0.7633,0.2969,0.3021,66
24,MP,192,119,0.6198,0.5494,0.6855,0.2396,0.2448,98
24,LC,192,113,0.5885,0.5179,0.6557,0.1823,0.1823,98
32,MP,192,98,0.5104,0.4402,0.5802,0.1823,0.1979,130
32,LC,192,92,0.4792,0.4096,0.5495,0.1406,0.1406,130
48,MP,192,72,0.375,0.3096,0.4453,0.1354,0.1354,194
48,LC,192,73,0.3802,0.3145,0.4506,0.0885,0.0938,194
64,MP,192,57,0.2969,0.2367,0.365,0.0677,0.0677,258
64,LC,192,52,0.2708,0.2129,0.3377,0.0677,0.0729,258
96,MP,192,40,0.2083,0.1569,0.2712,0.026,0.026,386
96,LC,192,39,0.2031,0.1523,0.2656,0.0365,0.0365,386
128,MP,192,25,0.1302,0.0898,0.1852,0.0104,0.0104,514
128,LC,192,25,0.1302,0.0898,0.1852,0.0208,0.026,514
