U,arm,n,constrained_correct,constrained_acc,ci_lo,ci_hi,unconstrained_acc,format_adherence,seq_len
1,DS,192,184,0.9583,0.9199,0.9787,0.6823,0.6979,514
1,SS,192,184,0.9583,0.9199,0.9787,0.6823,0.6979,514
24,DS,192,183,0.9531,0.9133,0.9751,0.7083,0.7448,514
24,SS,192,177,0.9219,0.8751,0.9521,0.6979,0.7396,514
48,DS,192,174,0.9062,0.8567,0.9399,0.5573,0.6042,514
48,SS,192,167,0.8698,0.8148,0.9102,0.6042,0.6458,514
64,DS,192,165,0.8594,0.8031,0.9015,0.4583,0.5104,514
64,SS,192,159,0.8281,0.7685,0.8749,0.5156,0.5729,514
80,DS,192,156,0.8125,0.7514,0.8614,0.3958,0.4323,514
80,SS,192,153,0.7969,0.7344,0.8477,0.4844,0.5365,514
96,DS,192,148,0.7708,0.7064,0.8246,0.2812,0.3021,514
96,SS,192,145,0.7552,0.6898,0.8106,0.4115,0.4427,514
112,DS,192,137,0.7135,0.6459,0.7728,0.2656,0.2812,514
112,SS,192,135,0.7031,0.635,0.7633,0.3438,0.375,514
128,DS,192,83,0.4323,0.3642,0.503,0.0677,0.0781,514
128,SS,192,79,0.4115,0.3443,0.4821,0.0781,0.1094,514
