U,arm,sentinel_slots,unique_bindings,n,constrained_correct,constrained_acc,ci_lo,ci_hi,unconstrained_acc,format_adherence,seq_len
1,DS,191,0,192,190,0.9896,0.9628,0.9971,0.8906,0.8958,770
1,SS,191,0,192,190,0.9896,0.9628,0.9971,0.8906,0.8958,770
24,DS,168,23,192,176,0.9167,0.8689,0.9481,0.599,0.625,770
24,SS,168,23,192,176,0.9167,0.8689,0.9481,0.5938,0.6406,770
48,DS,144,47,192,166,0.8646,0.809,0.9059,0.4948,0.5312,770
48,SS,144,47,192,162,0.8438,0.7857,0.8883,0.5052,0.5469,770
72,DS,120,71,192,148,0.7708,0.7064,0.8246,0.4323,0.4896,770
72,SS,120,71,192,145,0.7552,0.6898,0.8106,0.4167,0.4531,770
96,DS,96,95,192,145,0.7552,0.6898,0.8106,0.3646,0.4219,770
96,SS,96,95,192,133,0.6927,0.6242,0.7537,0.349,0.3802,770
128,DS,64,127,192,125,0.651,0.5813,0.7149,0.2969,0.3333,770
128,SS,64,127,192,108,0.5625,0.4918,0.6308,0.2656,0.3542,770
152,DS,40,151,192,109,0.5677,0.497,0.6358,0.224,0.276,770
152,SS,40,151,192,104,0.5417,0.4711,0.6106,0.2552,0.2969,770
176,DS,16,175,192,110,0.5729,0.5022,0.6408,0.2656,0.3229,770
176,SS,16,175,192,107,0.5573,0.4866,0.6257,0.2448,0.2969,770
