exampleId,stratum,target_slot,final_correct,oracle_best_correct,pool0_correct,pool1_correct,pool2_correct,pool3_correct,pool0_top1,pool1_top1,pool2_top1,pool3_top1
0,0,61,0,1,0,1,0,0,0.1597,0.5518,0.0316,0.0464
1,0,39,0,1,0,1,1,0,0.1833,0.3457,0.0331,0.0302
2,0,24,0,1,1,1,1,0,0.8737,0.2893,0.1755,0.0554
3,0,41,0,1,0,1,0,0,0.1754,0.1184,0.0631,0.0625
4,0,37,0,1,1,1,0,0,0.8732,0.0684,0.0232,0.0298
5,0,22,0,1,1,1,0,0,0.1687,0.1092,0.0844,0.12
6,0,8,0,1,1,0,1,0,0.4471,0.1199,0.1396,0.1059
7,0,39,0,1,0,1,1,0,0.2215,0.4397,0.1102,0.0651
8,0,24,0,1,1,0,0,0,0.2946,0.0463,0.0436,0.0416
9,0,56,0,1,0,1,1,1,0.1271,0.1639,0.0388,0.0168
10,0,26,0,1,1,1,0,0,0.7575,0.0889,0.0444,0.0522
11,0,39,0,1,0,1,1,1,0.0891,0.428,0.33,0.1236
12,0,52,0,1,0,1,1,1,0.1397,0.3446,0.0768,0.0771
13,0,21,0,1,1,1,0,0,0.4963,0.1509,0.0462,0.0465
14,0,47,0,1,0,1,1,1,0.1562,0.5036,0.1355,0.0973
15,0,30,0,1,1,1,0,0,0.8218,0.0976,0.0391,0.0627
16,0,51,0,1,0,1,0,0,0.2214,0.5068,0.1771,0.1274
17,0,35,0,1,1,0,0,0,0.8673,0.0704,0.0695,0.0925
18,0,64,0,1,0,1,0,0,0.2121,0.3744,0.073,0.0601
19,0,20,0,1,1,0,0,0,0.665,0.0685,0.0661,0.037
20,0,61,0,1,0,1,0,0,0.2376,0.6259,0.212,0.06
21,0,11,0,1,1,1,1,1,0.3479,0.3479,0.3271,0.0906
22,0,27,0,1,1,1,0,0,0.4063,0.041,0.0221,0.0415
23,0,34,0,1,1,1,1,0,0.905,0.6287,0.1049,0.0951
24,0,22,0,1,1,1,1,1,0.4217,0.0595,0.0593,0.0596
25,0,37,0,1,1,1,1,0,0.9617,0.336,0.2569,0.0804
26,0,52,0,1,0,1,1,1,0.13,0.4839,0.1442,0.1555
27,0,32,1,1,1,1,1,1,0.9218,0.4246,0.5963,0.3561
28,0,34,0,1,1,1,0,0,0.8573,0.1404,0.0846,0.0621
29,0,13,0,1,1,0,0,0,0.1366,0.0702,0.0491,0.0486
30,0,33,0,1,1,0,0,1,0.7465,0.0635,0.0396,0.0502
31,0,32,0,1,1,1,1,1,0.8948,0.3276,0.2495,0.0917
32,0,48,0,0,0,0,0,0,0.1016,0.0675,0.0648,0.0774
33,0,59,0,1,0,1,1,0,0.1783,0.3357,0.0509,0.0286
34,0,45,0,1,0,1,0,0,0.2288,0.3358,0.1292,0.0943
35,0,12,0,1,1,0,0,0,0.0869,0.0742,0.0625,0.0869
36,0,15,0,1,1,1,0,0,0.3499,0.0682,0.0572,0.0548
37,0,28,0,1,1,0,0,0,0.6033,0.0335,0.0432,0.034
38,0,52,0,0,0,0,0,0,0.1289,0.1579,0.111,0.1065
39,0,63,0,1,0,1,1,1,0.1688,0.1417,0.0624,0.0365
40,0,57,0,1,0,1,1,1,0.1638,0.5878,0.0222,0.0217
41,0,31,0,1,1,1,1,1,0.7427,0.4972,0.2025,0.105
42,0,17,0,1,1,0,0,0,0.0763,0.0571,0.0617,0.0389
43,0,14,0,1,1,0,0,0,0.7624,0.0847,0.1589,0.1892
44,0,33,1,1,1,1,1,1,0.9299,0.8423,0.6961,0.6498
45,0,27,0,1,1,1,1,1,0.9524,0.6714,0.0722,0.0443
46,0,62,0,1,0,1,1,0,0.1419,0.8735,0.1241,0.1208
47,0,48,0,1,0,1,1,1,0.1479,0.299,0.1708,0.0465
48,0,12,0,1,1,1,1,0,0.3302,0.1076,0.0608,0.0288
49,0,21,0,1,1,0,0,0,0.5051,0.0366,0.0183,0.0208
50,0,11,0,1,1,1,1,0,0.236,0.0719,0.0611,0.0512
51,0,58,0,1,0,1,0,0,0.13,0.1179,0.0569,0.1235
52,0,45,0,1,0,1,1,1,0.2287,0.4378,0.0938,0.1485
53,0,38,0,1,1,1,0,0,0.9453,0.1442,0.0239,0.0444
54,0,10,0,1,1,1,1,1,0.8496,0.7612,0.5848,0.4014
55,0,49,0,1,0,1,0,0,0.1111,0.2414,0.0503,0.0461
56,0,39,0,1,0,1,0,0,0.1713,0.1454,0.064,0.0281
57,0,41,0,1,0,1,1,0,0.0967,0.6217,0.084,0.0473
58,0,29,1,1,1,1,1,1,0.578,0.1574,0.0671,0.0531
59,0,15,1,1,1,1,0,0,0.5486,0.0937,0.0497,0.0407
60,0,27,0,1,1,1,1,0,0.4564,0.0912,0.0858,0.0418
61,0,58,0,1,0,1,1,0,0.1348,0.3146,0.0912,0.0517
62,0,41,0,1,0,1,0,0,0.1547,0.2819,0.3015,0.1052
63,0,34,0,1,1,1,0,0,0.5725,0.1178,0.0821,0.0551
