rep,arm,N,success_all,token_ratio,token_exact,output_throughput,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,itl_median_ms,e2e_median_ms,e2e_p95_ms,vram_peak_mb,power_mean_w,power_peak_w,energy_j,j_per_output_token
1,on,1,True,1.0,True,43.64,1143.0,1394.1,13.63,16.72,0.012,2821.9,3517.3,20877.0,286.6,407.05,19660.8,9.6
1,on,4,True,1.0,True,85.75,1191.0,2612.8,35.3,55.43,0.012,5509.5,8735.2,20886.0,275.8,366.67,17927.0,4.377
1,off,1,True,1.0,True,34.14,992.4,1087.9,21.78,23.13,21.418,3757.8,3931.3,18274.0,333.2,404.14,25656.4,12.528
1,off,4,True,1.0,False,66.82,2617.6,4193.3,39.55,43.31,38.661,7755.6,9669.2,18344.0,321.8,418.7,25518.7,6.23
2,off,1,True,1.0,True,34.58,991.3,1082.3,21.26,22.71,21.236,3694.2,3936.8,18181.0,336.0,408.29,25704.0,12.551
2,off,4,True,1.0,False,66.62,2644.3,4562.5,39.7,41.7,38.828,7616.8,9614.1,18170.0,324.0,417.75,25790.4,6.296
2,on,1,True,1.0,True,46.46,1086.8,1128.8,13.49,15.26,0.012,2785.2,3009.5,20760.0,320.0,410.26,19744.0,9.641
2,on,4,True,1.0,False,90.18,1240.1,2609.9,31.39,52.24,0.012,5251.7,9058.8,20760.0,280.8,367.81,17746.6,4.333
3,off,1,True,1.0,True,34.43,1000.0,1048.6,21.71,22.17,21.581,3748.4,3867.3,18158.0,335.9,409.07,26536.1,12.957
3,off,4,True,1.0,False,66.91,2648.6,4172.5,39.71,40.96,39.334,7695.6,9264.9,18164.0,324.6,418.51,25643.4,6.261
3,on,1,True,1.0,True,46.25,1107.4,1134.9,13.75,15.37,0.012,2809.2,2960.0,20764.0,323.9,411.5,19855.1,9.695
3,on,4,True,1.0,False,85.06,1183.4,2035.6,36.28,51.45,0.012,5753.7,8431.7,20851.0,286.2,367.21,18574.4,4.535
4,on,1,True,1.0,True,43.47,1108.3,1338.0,14.33,17.67,0.012,2889.7,3589.1,20873.0,315.0,410.1,20443.5,9.982
4,on,4,True,1.0,False,87.2,1187.0,1756.9,33.56,59.01,0.013,5119.0,8597.8,20756.0,284.0,370.6,18431.6,4.5
4,off,1,True,1.0,True,34.59,1006.9,1020.3,21.58,22.35,21.458,3746.7,3859.0,18272.0,336.0,409.72,25905.6,12.649
4,off,4,True,1.0,False,67.58,2589.5,4276.4,38.91,40.62,38.928,7554.2,9260.3,18274.0,326.6,418.2,25638.1,6.259
5,on,1,True,1.0,True,45.78,1096.9,1183.2,13.92,15.55,0.012,2832.5,3122.0,20866.0,321.7,411.4,20267.1,9.896
5,on,4,True,1.0,False,85.5,1237.1,1937.3,35.09,50.98,0.012,5578.5,8175.0,20866.0,282.1,374.01,18844.3,4.601
5,off,1,True,1.0,True,34.76,982.8,1012.4,21.58,22.45,21.378,3696.9,3858.9,18213.0,333.8,407.17,26837.5,13.104
5,off,4,True,1.0,False,66.97,1892.6,3699.8,42.37,52.04,38.507,7265.5,9275.6,18168.0,325.5,418.17,26202.8,6.397
