N,metric,n_blocks_paired,median_on,mad_on,median_off,mad_off,paired_delta_hl,delta_ci_lo,delta_ci_hi,sign_p,ci_excludes_zero
1,output_throughput,5,45.78,1.008,34.58,0.222,10.66,9.19,11.85,0.0625,True
1,ttft_median_ms,5,1107.4,15.567,992.4,11.268,107.75,98.45,132.35,0.0625,True
1,ttft_p95_ms,5,1183.2,80.653,1048.6,49.964,182.1,66.4,311.95,0.0625,True
1,tpot_median_ms,5,13.75,0.252,21.58,0.193,-7.77,-8.055,-7.455,0.0625,True
1,tpot_p95_ms,5,15.55,0.43,22.45,0.385,-6.655,-7.175,-5.545,0.0625,True
1,itl_median_ms,5,0.012,0.0,21.418,0.059,-21.406,-21.508,-21.295,0.0625,True
1,e2e_median_ms,5,2821.9,18.829,3746.7,16.457,-900.15,-937.55,-860.7,0.0625,True
1,e2e_p95_ms,5,3122.0,240.181,3867.3,12.454,-660.65,-917.3,-341.95,0.0625,True
1,vram_peak_mb,5,20866.0,16.309,18213.0,81.543,2603.5,2590.0,2629.5,0.0625,True
1,power_mean_w,5,320.0,5.782,335.9,0.148,-16.55,-33.8,-12.05,0.0625,True
1,power_peak_w,5,410.26,1.69,408.29,1.661,2.43,1.175,3.57,0.0625,True
1,energy_j,5,19855.1,288.069,25905.6,369.464,-6071.55,-6625.7,-5711.05,0.0625,True
1,j_per_output_token,5,9.695,0.141,12.649,0.179,-2.965,-3.235,-2.788,0.0625,True
4,output_throughput,5,85.75,1.023,66.91,0.133,19.075,18.34,21.59,0.0625,True
4,ttft_median_ms,5,1191.0,11.268,2617.6,41.661,-1404.2,-1445.9,-1029.0,0.0625,True
4,ttft_p95_ms,5,2035.6,413.201,4193.3,123.204,-1952.6,-2328.2,-1671.5,0.0625,True
4,tpot_median_ms,5,35.09,1.764,39.7,0.222,-5.765,-7.795,-3.84,0.0625,True
4,tpot_p95_ms,5,52.24,1.868,41.7,1.601,10.54,4.715,15.255,0.375,True
4,itl_median_ms,5,0.012,0.0,38.828,0.248,-38.816,-39.118,-38.572,0.0625,True
4,e2e_median_ms,5,5509.5,362.051,7616.8,116.829,-2153.5,-2400.15,-1814.45,0.0625,True
4,e2e_p95_ms,5,8597.8,246.26,9275.6,22.684,-827.95,-1017.3,-608.9,0.0625,True
4,vram_peak_mb,5,20851.0,51.891,18170.0,8.896,2590.0,2512.0,2692.5,0.0625,True
4,power_mean_w,5,282.1,2.817,324.6,1.334,-43.0,-44.7,-40.5,0.0625,True
4,power_peak_w,5,367.81,1.69,418.2,0.46,-49.45,-51.665,-45.88,0.0625,True
4,energy_j,5,18431.6,611.869,25643.4,184.88,-7399.1,-7817.75,-7137.75,0.0625,True
4,j_per_output_token,5,4.5,0.15,6.261,0.046,-1.806,-1.908,-1.743,0.0625,True
