rep,arm,N,success_all,token_ratio,token_exact,output_throughput,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,itl_median_ms,e2e_median_ms,e2e_p95_ms,vram_peak_mb,power_mean_w,power_peak_w,energy_j,j_per_output_token
1,on,1,True,1.0,True,60.99,1122.6,1206.7,8.46,9.91,0.012,2154.4,2381.7,20843.0,174.9,230.95,9042.3,4.415
1,on,4,True,1.0,True,92.74,738.1,2097.6,33.27,57.6,0.012,4777.9,8737.0,20873.0,171.5,215.28,10152.8,2.479
1,off,1,True,1.0,True,57.73,1007.3,1114.7,10.07,11.15,10.181,2271.0,2502.6,19736.0,181.1,228.54,9073.1,4.43
1,off,4,True,1.0,True,88.25,2551.3,5865.0,23.22,27.55,23.346,5512.5,9144.2,19819.0,177.4,228.49,11176.2,2.729
2,off,1,True,1.0,True,57.52,1019.4,1095.0,10.11,11.05,10.208,2286.5,2431.8,19710.0,178.4,231.9,8795.1,4.294
2,off,4,True,1.0,True,89.49,2589.4,5283.6,23.18,25.11,23.51,5602.0,8387.9,19722.0,183.1,230.65,11224.0,2.74
2,on,1,True,1.0,True,65.71,1058.2,1163.7,7.87,8.68,0.011,2005.2,2237.8,20838.0,182.3,236.62,8331.1,4.068
2,on,4,True,1.0,True,98.12,774.6,2163.0,31.16,48.77,0.012,4764.7,7887.5,20838.0,175.6,218.13,10167.2,2.482
3,off,1,True,1.0,True,58.48,983.2,1090.2,9.96,10.95,10.022,2266.4,2427.7,19720.0,179.0,230.89,8932.1,4.361
3,off,4,True,1.0,True,90.4,2598.8,5123.5,23.14,24.39,23.049,5539.3,8092.4,19724.0,176.8,228.4,11032.3,2.693
3,on,1,True,1.0,True,67.05,1012.2,1136.2,7.73,8.63,0.011,1942.7,2185.6,20842.0,178.8,229.81,8278.4,4.042
3,on,4,True,1.0,True,97.19,778.4,2323.0,32.16,49.9,0.011,4804.1,7755.1,20854.0,174.5,221.68,10208.2,2.492
4,on,1,True,1.0,True,66.87,1010.4,1123.0,7.84,8.46,0.011,1948.5,2214.0,20838.0,176.6,234.63,8176.6,3.992
4,on,4,True,1.0,True,97.03,719.0,2207.0,31.48,50.72,0.012,5046.2,7810.0,20838.0,171.1,221.57,10248.9,2.502
4,off,1,True,1.0,True,58.58,999.9,1132.1,10.01,10.62,9.945,2276.4,2407.7,19722.0,180.1,229.41,9563.3,4.67
4,off,4,True,1.0,True,90.28,2560.9,4959.3,24.34,24.7,24.007,5666.4,8058.7,19728.0,178.3,220.3,11179.4,2.729
5,on,1,True,1.0,True,67.01,984.9,1161.1,7.69,9.0,0.011,1882.3,2288.1,20840.0,175.7,235.23,8574.2,4.187
5,on,4,True,1.0,True,98.54,788.5,2157.6,31.03,47.7,0.012,4854.6,7691.0,20838.0,175.4,220.14,9822.4,2.398
5,off,1,True,1.0,True,58.45,1003.6,1111.4,10.12,10.44,10.039,2291.8,2420.4,19720.0,180.2,229.91,9046.0,4.417
5,off,4,True,1.0,True,90.85,2597.4,5065.8,22.8,25.27,23.272,5520.1,8274.5,19724.0,176.6,222.74,10949.2,2.673
