N,metric,n_blocks_paired,median_on,mad_on,median_off,mad_off,paired_delta_hl,delta_ci_lo,delta_ci_hi,sign_p,ci_excludes_zero
1,output_throughput,5,66.87,0.267,58.45,0.193,8.29,5.725,8.565,0.0625,True
1,ttft_median_ms,5,1012.2,40.475,1003.6,5.486,29.0,-4.1,77.05,0.375,False
1,ttft_p95_ms,5,1161.1,36.917,1111.4,24.315,49.7,18.45,80.35,0.375,True
1,tpot_median_ms,5,7.84,0.163,10.07,0.074,-2.205,-2.335,-1.89,0.0625,True
1,tpot_p95_ms,5,8.68,0.326,10.95,0.297,-1.88,-2.345,-1.34,0.0625,True
1,itl_median_ms,5,0.011,0.0,10.039,0.139,-10.066,-10.183,-9.973,0.0625,True
1,e2e_median_ms,5,1948.5,84.063,2276.4,14.826,-304.6,-368.7,-198.95,0.0625,True
1,e2e_p95_ms,5,2237.8,74.575,2427.7,10.823,-181.5,-218.05,-126.6,0.0625,True
1,vram_peak_mb,5,20840.0,2.965,19720.0,2.965,1119.0,1111.5,1125.0,0.0625,True
1,power_mean_w,5,176.6,2.52,180.1,1.483,-2.35,-5.35,1.85,0.375,False
1,power_peak_w,5,234.63,2.95,229.91,1.453,3.815,0.665,5.27,0.375,True
1,energy_j,5,8331.1,229.062,9046.0,168.868,-558.85,-1020.2,-247.4,0.0625,True
1,j_per_output_token,5,4.068,0.113,4.417,0.083,-0.272,-0.498,-0.12,0.0625,True
4,output_throughput,5,97.19,1.379,90.28,0.845,6.79,5.62,8.16,0.0625,True
4,ttft_median_ms,5,774.6,20.608,2589.4,13.936,-1816.8,-1831.15,-1811.05,0.0625,True
4,ttft_p95_ms,5,2163.0,65.234,5123.5,237.364,-2960.55,-3444.0,-2776.4,0.0625,True
4,tpot_median_ms,5,31.48,0.667,23.18,0.059,8.5,7.56,9.535,0.0625,True
4,tpot_p95_ms,5,49.9,1.675,25.11,0.608,25.51,23.045,28.035,0.0625,True
4,itl_median_ms,5,0.012,0.0,23.346,0.243,-23.379,-23.747,-23.149,0.0625,True
4,e2e_median_ms,5,4804.1,58.414,5539.3,39.734,-728.75,-786.25,-642.85,0.0625,True
4,e2e_p95_ms,5,7810.0,114.901,8274.5,269.981,-416.1,-541.95,-293.0,0.0625,True
4,vram_peak_mb,5,20838.0,0.0,19724.0,2.965,1113.0,1082.0,1123.0,0.0625,True
4,power_mean_w,5,174.5,1.631,177.4,1.186,-4.75,-7.35,-1.75,0.0625,True
4,power_peak_w,5,220.14,2.283,228.4,3.336,-6.72,-12.865,-0.665,0.375,True
4,energy_j,5,10167.2,60.787,11176.2,70.868,-993.65,-1091.8,-877.3,0.0625,True
4,j_per_output_token,5,2.482,0.015,2.729,0.016,-0.243,-0.266,-0.214,0.0625,True
