arch,N,metric,median_on,median_off,paired_delta_hl,delta_ci_lo,delta_ci_hi,sign_p,ci_excludes_zero,n_blocks_paired
dense,1,output_throughput,45.78,34.58,10.66,9.19,11.85,0.0625,True,5
dense,1,ttft_median_ms,1107.4,992.4,107.75,98.45,132.35,0.0625,True,5
dense,1,ttft_p95_ms,1183.2,1048.6,182.1,66.4,311.95,0.0625,True,5
dense,1,tpot_median_ms,13.75,21.58,-7.77,-8.055,-7.455,0.0625,True,5
dense,1,tpot_p95_ms,15.55,22.45,-6.655,-7.175,-5.545,0.0625,True,5
dense,1,itl_median_ms,0.012,21.418,-21.406,-21.508,-21.295,0.0625,True,5
dense,1,e2e_median_ms,2821.9,3746.7,-900.15,-937.55,-860.7,0.0625,True,5
dense,1,e2e_p95_ms,3122.0,3867.3,-660.65,-917.3,-341.95,0.0625,True,5
dense,1,vram_peak_mb,20866.0,18213.0,2603.5,2590.0,2629.5,0.0625,True,5
dense,1,power_mean_w,320.0,335.9,-16.55,-33.8,-12.05,0.0625,True,5
dense,1,power_peak_w,410.26,408.29,2.43,1.175,3.57,0.0625,True,5
dense,1,energy_j,19855.1,25905.6,-6071.55,-6625.7,-5711.05,0.0625,True,5
dense,1,j_per_output_token,9.695,12.649,-2.965,-3.235,-2.788,0.0625,True,5
dense,4,output_throughput,85.75,66.91,19.075,18.34,21.59,0.0625,True,5
dense,4,ttft_median_ms,1191.0,2617.6,-1404.2,-1445.9,-1029.0,0.0625,True,5
dense,4,ttft_p95_ms,2035.6,4193.3,-1952.6,-2328.2,-1671.5,0.0625,True,5
dense,4,tpot_median_ms,35.09,39.7,-5.765,-7.795,-3.84,0.0625,True,5
dense,4,tpot_p95_ms,52.24,41.7,10.54,4.715,15.255,0.375,True,5
dense,4,itl_median_ms,0.012,38.828,-38.816,-39.118,-38.572,0.0625,True,5
dense,4,e2e_median_ms,5509.5,7616.8,-2153.5,-2400.15,-1814.45,0.0625,True,5
dense,4,e2e_p95_ms,8597.8,9275.6,-827.95,-1017.3,-608.9,0.0625,True,5
dense,4,vram_peak_mb,20851.0,18170.0,2590.0,2512.0,2692.5,0.0625,True,5
dense,4,power_mean_w,282.1,324.6,-43.0,-44.7,-40.5,0.0625,True,5
dense,4,power_peak_w,367.81,418.2,-49.45,-51.665,-45.88,0.0625,True,5
dense,4,energy_j,18431.6,25643.4,-7399.1,-7817.75,-7137.75,0.0625,True,5
dense,4,j_per_output_token,4.5,6.261,-1.806,-1.908,-1.743,0.0625,True,5
moe,1,output_throughput,66.87,58.45,8.29,5.725,8.565,0.0625,True,5
moe,1,ttft_median_ms,1012.2,1003.6,29.0,-4.1,77.05,0.375,False,5
moe,1,ttft_p95_ms,1161.1,1111.4,49.7,18.45,80.35,0.375,True,5
moe,1,tpot_median_ms,7.84,10.07,-2.205,-2.335,-1.89,0.0625,True,5
moe,1,tpot_p95_ms,8.68,10.95,-1.88,-2.345,-1.34,0.0625,True,5
moe,1,itl_median_ms,0.011,10.039,-10.066,-10.183,-9.973,0.0625,True,5
moe,1,e2e_median_ms,1948.5,2276.4,-304.6,-368.7,-198.95,0.0625,True,5
moe,1,e2e_p95_ms,2237.8,2427.7,-181.5,-218.05,-126.6,0.0625,True,5
moe,1,vram_peak_mb,20840.0,19720.0,1119.0,1111.5,1125.0,0.0625,True,5
moe,1,power_mean_w,176.6,180.1,-2.35,-5.35,1.85,0.375,False,5
moe,1,power_peak_w,234.63,229.91,3.815,0.665,5.27,0.375,True,5
moe,1,energy_j,8331.1,9046.0,-558.85,-1020.2,-247.4,0.0625,True,5
moe,1,j_per_output_token,4.068,4.417,-0.272,-0.498,-0.12,0.0625,True,5
moe,4,output_throughput,97.19,90.28,6.79,5.62,8.16,0.0625,True,5
moe,4,ttft_median_ms,774.6,2589.4,-1816.8,-1831.15,-1811.05,0.0625,True,5
moe,4,ttft_p95_ms,2163.0,5123.5,-2960.55,-3444.0,-2776.4,0.0625,True,5
moe,4,tpot_median_ms,31.48,23.18,8.5,7.56,9.535,0.0625,True,5
moe,4,tpot_p95_ms,49.9,25.11,25.51,23.045,28.035,0.0625,True,5
moe,4,itl_median_ms,0.012,23.346,-23.379,-23.747,-23.149,0.0625,True,5
moe,4,e2e_median_ms,4804.1,5539.3,-728.75,-786.25,-642.85,0.0625,True,5
moe,4,e2e_p95_ms,7810.0,8274.5,-416.1,-541.95,-293.0,0.0625,True,5
moe,4,vram_peak_mb,20838.0,19724.0,1113.0,1082.0,1123.0,0.0625,True,5
moe,4,power_mean_w,174.5,177.4,-4.75,-7.35,-1.75,0.0625,True,5
moe,4,power_peak_w,220.14,228.4,-6.72,-12.865,-0.665,0.375,True,5
moe,4,energy_j,10167.2,11176.2,-993.65,-1091.8,-877.3,0.0625,True,5
moe,4,j_per_output_token,2.482,2.729,-0.243,-0.266,-0.214,0.0625,True,5
