tag,point,rep,arm,rate,seed,rc,wall_s,completed,errors,timeout,server_failed,offered_rate,completed_rate,request_throughput,output_throughput,token_ratio,vram_peak_mb,power_mean_w,util_mean,n,n_ok,n_err,ttft_median_ms,ttft_p95_ms,e2e_median_ms,e2e_p95_ms,tpot_median_ms,out_len_median,out_len_mean,interactive_n_ok,interactive_ttft_median_ms,interactive_e2e_median_ms,interactive_out_len_mean,coding_n_ok,coding_ttft_median_ms,coding_e2e_median_ms,coding_out_len_mean,len_short,len_medium,len_long
low_rep1_off,low,1,off,0.03,101,0,367.4,12,0,False,False,0.03,0.0327,0.0357,22.8,1.0,20444.0,100.6,21.4,12,12,0,2377.4,10944.6,13253.6,23012.4,11.42,512.0,640,9,2296.0,11261.5,568.9,3,8639.8,16863.0,853.3,0,8,4
low_rep1_on,low,1,on,0.03,101,0,368.4,12,0,False,False,0.03,0.0326,0.0357,22.8,1.0,21688.0,96.8,17.7,12,12,0,2401.4,10935.0,11658.7,20214.2,9.56,512.0,640,9,2239.6,8138.8,568.9,3,8792.1,16523.9,853.3,0,8,4
low_rep2_on,low,2,on,0.03,102,0,406.0,12,0,False,False,0.03,0.0296,0.0332,22.0,1.0,21689.0,98.0,17.7,12,12,0,2156.6,8454.4,8079.0,15682.4,8.65,512.0,661.3,9,2079.8,6690.3,540.4,3,8224.1,13484.3,1024,2,5,5
low_rep2_off,low,2,off,0.03,102,0,406.1,12,0,False,False,0.03,0.0295,0.0332,22.0,1.0,20473.0,104.1,21.6,12,12,0,2133.2,8235.0,9446.8,17767.3,10.27,512.0,661.3,9,2087.6,6913.9,540.4,3,8216.7,16862.8,1024,2,5,5
near_rep1_off,near,1,off,0.072,101,0,167.4,12,0,False,False,0.072,0.0717,0.0826,52.8,1.0,20444.0,168.0,42.4,12,12,0,2237.8,11606.5,14630.6,31272.3,15.63,512.0,640,9,2007.1,12472.4,568.9,3,8702.3,22591.8,853.3,0,8,4
near_rep1_on,near,1,on,0.072,101,0,166.9,12,0,False,False,0.072,0.0719,0.0821,52.6,1.0,21687.0,164.3,37.2,12,12,0,2431.0,12087.5,13482.9,29987.3,14.95,512.0,640,9,2291.6,10728.6,568.9,3,9200.9,23297.7,853.3,0,8,4
near_rep2_on,near,2,on,0.072,102,0,178.7,12,0,False,False,0.072,0.0672,0.0798,52.8,1.0,21687.0,158.7,34.6,12,12,0,2075.7,8487.2,12707.6,33193.5,15.7,512.0,661.3,9,1993.8,10414.5,540.4,3,8366.6,18401.4,1024,2,5,5
near_rep2_off,near,2,off,0.072,102,0,180.8,12,0,False,False,0.072,0.0664,0.0798,52.8,1.0,20441.0,166.2,40.2,12,12,0,1999.8,8994.6,17832.0,41865.8,17.16,512.0,661.3,9,1949.7,10184.1,540.4,3,8432.7,20919.5,1024,2,5,5
over_rep1_off,over,1,off,0.11,101,0,127.6,12,0,False,False,0.11,0.094,0.1125,72.0,1.0,20440.0,198.8,51.2,12,12,0,2300.4,13313.4,18421.4,31520.1,21.7,512.0,640,9,2150.7,16490.6,568.9,3,8335.1,26352.0,853.3,0,8,4
over_rep1_on,over,1,on,0.11,101,0,126.0,12,0,False,False,0.11,0.0952,0.1155,73.9,1.0,21687.0,194.1,45.8,12,12,0,2415.6,16913.4,14679.8,30551.7,17.32,512.0,640,9,2279.3,11634.1,568.9,3,9457.1,24718.5,853.3,0,8,4
over_rep2_on,over,2,on,0.11,102,0,140.0,12,0,False,False,0.11,0.0857,0.1086,71.8,1.0,21740.0,183.1,42.8,12,12,0,2149.8,11855.8,22381.8,40668.1,18.62,512.0,661.3,9,2089.3,12221.5,540.4,3,8582.7,28578.9,1024,2,5,5
over_rep2_off,over,2,off,0.11,102,0,139.5,12,0,False,False,0.11,0.086,0.1077,71.3,1.0,20435.0,189.6,47.1,12,12,0,1937.3,11278.3,23859.1,43489.4,23.56,512.0,661.3,9,1854.5,14122.4,540.4,3,8206.9,29338.6,1024,2,5,5
