point,metric,n_pairs,median_on,median_off,paired_delta,direction_agree,deltas
low,ttft_median_ms,2,2279.0,2255.3,23.7,True,"[24.0, 23.4]"
low,ttft_p95_ms,2,9694.7,9589.8,104.9,False,"[-9.6, 219.4]"
low,e2e_median_ms,2,9868.85,11350.2,-1481.35,True,"[-1594.9, -1367.8]"
low,e2e_p95_ms,2,17948.3,20389.85,-2441.55,True,"[-2798.2, -2084.9]"
low,tpot_median_ms,2,9.11,10.84,-1.74,True,"[-1.86, -1.62]"
low,output_throughput,2,22.4,22.4,0.0,False,"[0.0, 0.0]"
low,completed_rate,2,0.03,0.03,0.0,False,"[-0.0, 0.0]"
low,out_len_mean,2,650.65,650.65,0.0,False,"[0, 0.0]"
near,ttft_median_ms,2,2253.35,2118.8,134.55,True,"[193.2, 75.9]"
near,ttft_p95_ms,2,10287.35,10300.55,-13.2,False,"[481.0, -507.4]"
near,e2e_median_ms,2,13095.25,16231.3,-3136.05,True,"[-1147.7, -5124.4]"
near,e2e_p95_ms,2,31590.4,36569.05,-4978.65,True,"[-1285.0, -8672.3]"
near,tpot_median_ms,2,15.32,16.39,-1.07,True,"[-0.68, -1.46]"
near,output_throughput,2,52.7,52.8,-0.1,False,"[-0.2, 0.0]"
near,completed_rate,2,0.07,0.07,0.0,True,"[0.0, 0.0]"
near,out_len_mean,2,650.65,650.65,0.0,False,"[0, 0.0]"
over,ttft_median_ms,2,2282.7,2118.85,163.85,True,"[115.2, 212.5]"
over,ttft_p95_ms,2,14384.6,12295.85,2088.75,True,"[3600.0, 577.5]"
over,e2e_median_ms,2,18530.8,21140.25,-2609.45,True,"[-3741.6, -1477.3]"
over,e2e_p95_ms,2,35609.9,37504.75,-1894.85,True,"[-968.4, -2821.3]"
over,tpot_median_ms,2,17.97,22.63,-4.66,True,"[-4.38, -4.94]"
over,output_throughput,2,72.85,71.65,1.2,True,"[1.9, 0.5]"
over,completed_rate,2,0.09,0.09,0.0,False,"[0.0, -0.0]"
over,out_len_mean,2,650.65,650.65,0.0,False,"[0, 0.0]"
